,date,open,high,low,close,volume
2332,2021-06-14,15791.40,15823.05,15606.50,15811.85,392862048
2333,2021-06-15,15866.95,15901.60,15842.40,15869.25,323262816
2334,2021-06-16,15847.50,15880.85,15742.60,15767.55,340191168
2335,2021-06-17,15648.30,15769.35,15616.75,15691.40,357649248
2336,2021-06-18,15756.50,15761.50,15450.90,15683.35,640821632
2337,2021-06-21,15525.85,15765.15,15505.65,15746.50,351529984
2338,2021-06-22,15840.50,15895.75,15752.10,15772.75,322237984
2339,2021-06-23,15862.80,15862.95,15673.95,15686.95,287536992
2340,2021-06-24,15737.30,15821.40,15702.70,15790.45,316662240
2341,2021-06-25,15839.35,15870.80,15772.30,15860.35,314614368
2342,2021-06-28,15915.35,15915.65,15792.15,15814.70,255099280
2343,2021-06-29,15807.50,15835.90,15724.05,15748.45,360334720
2344,2021-06-30,15776.90,15839.10,15708.75,15721.50,262386320
2345,2021-07-01,15755.05,15755.55,15667.05,15680.00,224921648
2346,2021-07-02,15705.85,15738.35,15635.95,15722.20,254808992
2347,2021-07-05,15793.40,15845.95,15762.05,15834.35,207032160
2348,2021-07-06,15813.75,15914.20,15801.00,15818.25,391410752
2349,2021-07-07,15819.60,15893.55,15779.70,15879.65,329308640
2350,2021-07-08,15855.40,15885.75,15682.90,15727.90,307928512
2351,2021-07-09,15688.25,15730.85,15632.75,15689.80,243249360
2352,2021-07-12,15766.80,15789.20,15644.75,15692.60,216272480
2353,2021-07-13,15794.00,15820.80,15744.60,15812.35,246676560
2354,2021-07-14,15808.70,15877.35,15764.20,15853.95,239924352
2355,2021-07-15,15872.15,15952.35,15855.00,15924.20,284851040
2356,2021-07-16,15958.35,15962.25,15882.60,15923.40,276298112
2357,2021-07-19,15754.50,15836.90,15707.50,15752.40,242131808
2358,2021-07-20,15703.95,15728.45,15578.55,15632.10,274284160
2359,2021-07-22,15736.60,15834.80,15726.40,15824.05,265250864
2360,2021-07-23,15856.80,15899.80,15768.40,15856.05,294098240
2361,2021-07-26,15849.30,15893.35,15797.00,15824.45,267076688
2362,2021-07-27,15860.50,15881.55,15701.00,15746.45,311012064
2363,2021-07-28,15761.55,15767.50,15513.45,15709.40,318601600
2364,2021-07-29,15762.70,15817.35,15737.80,15778.45,401584928
2365,2021-07-30,15800.60,15862.80,15744.85,15763.05,400021216
2366,2021-08-02,15874.90,15892.90,15834.65,15885.15,244847424
2367,2021-08-03,15951.55,16146.90,15914.35,16130.75,341289664
2368,2021-08-04,16195.25,16290.20,16176.15,16258.80,427337632
2369,2021-08-05,16288.95,16349.45,16210.30,16294.60,418174496
2370,2021-08-06,16304.40,16336.75,16223.30,16238.20,320087296
2371,2021-08-09,16281.35,16320.75,16179.05,16258.25,240452912
2372,2021-08-10,16274.80,16359.25,16202.25,16280.10,287989504
2373,2021-08-11,16327.30,16338.75,16162.55,16282.25,277895872
2374,2021-08-12,16303.65,16375.50,16286.90,16364.40,280181312
2375,2021-08-13,16385.70,16543.60,16376.30,16529.10,321866304
2376,2021-08-16,16518.40,16589.40,16480.75,16563.05,254049344
2377,2021-08-17,16545.25,16628.55,16495.40,16614.60,297388480
2378,2021-08-18,16691.95,16701.85,16535.85,16568.85,251796816
2379,2021-08-20,16382.50,16509.55,16376.05,16450.50,350819328
2380,2021-08-23,16592.25,16592.50,16395.70,16496.45,275597792
2381,2021-08-24,16561.40,16647.10,16495.30,16624.60,275362816
2382,2021-08-25,16654.00,16712.45,16617.50,16634.65,265920128
2383,2021-08-26,16627.95,16683.70,16603.40,16636.90,253530992
2384,2021-08-27,16642.55,16722.05,16565.60,16705.20,217405728
2385,2021-08-30,16775.85,16951.50,16764.85,16931.05,283483104
2386,2021-08-31,16947.50,17153.50,16915.85,17132.20,464390272
2387,2021-09-01,17185.60,17225.75,17055.05,17076.25,301894624
2388,2021-09-02,17095.40,17245.50,17059.70,17234.15,242377520
2389,2021-09-03,17262.45,17340.10,17212.20,17323.60,261373792
